"","State:County","Intercept","Slope","CBER"
"1","DC:District of Columbia",6.47785904503034,-0.00507160175216997,50
"2","MD:Anne Arundel",10.6447084944302,-0.0318181275396196,37
"3","MD:Baltimore",14.5136556381137,-0.35420818314635,26
"4","MD:Baltimore city",10.9423773319904,-0.167648393758835,26
"5","MD:Calvert",4.0279325414617,0.277577828046813,3
"6","MD:Caroline",24.361334989879,-0.376886393940644,0
"7","MD:Carroll",7.35316464129852,-0.0596454419573013,9
"8","MD:Cecil",6.8698012405173,0.28510972488972,1
"9","MD:Charles",6.9965097935896,0.208856779434807,12
"10","MD:Dorchester",15.9842484106588,0.00786674791050513,1
"11","MD:Frederick",6.55894611792498,0.105727017835972,75
"12","MD:Harford",9.9191279486198,-0.0250743754835002,4
"13","MD:Howard",8.51663655469203,0.0190876001791726,97
"14","MD:Kent",6.87045569873585,0.316849251047583,1
"15","MD:Montgomery",8.49006380891883,-0.015538895097541,643
"16","MD:Prince George's",11.4724209262572,0.044057632016325,66
"17","MD:Queen Anne's",10.958879523276,-0.272959296627516,0
"18","MD:St. Mary's",5.19321598647524,-0.000829808146973622,0
"19","MD:Talbot",8.03063734591743,-0.0498220403164176,0
"20","MD:Washington",6.94151324552245,0.273337024041384,3
"21","VA:Alexandria city",11.5680433531035,-0.188074249271601,7
"22","VA:Arlington",6.62299265225629,-0.0690668369060354,9
"23","VA:Clarke",4.76788609648977,-0.161077232989519,0
"24","VA:Culpeper",5.04336322495922,0.147421386575731,2
"25","VA:Fairfax",8.42009058648893,-0.0688940132147692,41
"26","VA:Fairfax city",6.54243961625618,-0.356860342704882,2
"27","VA:Falls Church city",-0.719576751398798,0.189023146636102,1
"28","VA:Fauquier",9.3853842896073,0.093457091094258,1
"29","VA:Frederick",0.170145805639598,0.175418919450743,0
"30","VA:Fredericksburg city",8.09367162465779,0.185986842944708,0
"31","VA:King George",3.50989427496465,0.277281647722207,0
"32","VA:Loudoun",8.82039067508981,-0.0558036337094128,7
"33","VA:Manassas Park city",13.490832970015,-0.0161674429733868,0
"34","VA:Manassas city",14.0345407126819,-0.404262022162195,1
"35","VA:Prince William",12.7411773821855,0.0642849858226738,3
"36","VA:Rappahannock",6.26239432209581,0.106503304797548,0
"37","VA:Stafford",7.69311068383929,-0.00410737356318169,3
"38","VA:Warren",1.21948988738011,0.193085898835184,0
"39","VA:Westmoreland",5.35050374469906,0.0871417547996589,0
"40","VA:Winchester city",11.6238202996519,-0.532269212374633,0
